id_bod|id_schuze|id_tisk|id_typ|bod|uplny_naz|uplny_kon|poznamka|id_bod_stav|pozvanka|rj|pozn2|druh_bodu|id_sd|zkratka
7249|52|||55|Návrh volební komise na volbu èlenù Vyšetøovací komise Poslanecké snìmovny pro šetøení okolností krachu Kreditní banky a.s. Plzeò|Není sn.tisk||1|1||||||
7250|52|||17|Odpovìdi èlenù vlády na písemné interpelace poslancù|Není sn.tisk||1||||2|||
7250|52|||72|Odpovìdi èlenù vlády na písemné interpelace poslancù|Není sn.tisk||1|1||||||
7251|52|534|1|65|Roèní úèetní závìrka a vıroèní zpráva Fondu národního majetku Èeské republiky za rok 1995|/snìmovní tisk 5/||1|1||||||
7251|52|534|1|71|Roèní úèetní závìrka a vıroèní zpráva Fondu národního majetku Èeské republiky za rok 1995|/snìmovní tisk 5/||1|||||||
7252|52|601|1|54|Texty Úmluvy è. 176 a Doporuèení è. 183 Mezinárodní organizace práce o bezpeènosti a ochranì zdraví pøi práci v dolech a Protokolu z roku 1995 k Úmluvì è. 81 o inspekci práce (1947), které byly pøijaty na 82. zasedání Mezinárodní konference práce v èervnu 1995, a stanovisko vlády Èeské republiky k Úmluvì, Doporuèení a Protokolu|/snìmovní tisk 58/||1|1||||||
7252|52|601|1|61|Texty Úmluvy è. 176 a Doporuèení è. 183 Mezinárodní organizace práce o bezpeènosti a ochranì zdraví pøi práci v dolech a Protokolu z roku 1995 k Úmluvì è. 81 o inspekci práce (1947), které byly pøijaty na 82. zasedání Mezinárodní konference práce v èervnu 1995, a stanovisko vlády Èeské republiky k Úmluvì, Doporuèení a Protokolu|/snìmovní tisk 58/||1|||||||
7253|52|547|1|12|Vládní návrh státního závìreèného úètu Èeské republiky za rok 1995|/snìmovní tisk 11/||1|1||||||
7253|52|547|1|13|Vládní návrh státního závìreèného úètu Èeské republiky za rok 1995|/snìmovní tisk 11/||1|||||||
7254|52|582|1|40|Vládní návrh zákona o bezpeènosti a plynulosti provozu na pozemních komunikacích|/snìmovní tisk 41/||1|1||||||
7254|52|582|1|41|Vládní návrh zákona o bezpeènosti a plynulosti provozu na pozemních komunikacích|/snìmovní tisk 41/||1|||||||
7255|52|575|1|39|Vládní návrh zákona o civilním letectví a o zmìnì zákona è. 455/1991 Sb., o ivnostenském podnikání (ivnostenskı zákon), ve znìní pozdìjších pøedpisù|/snìmovní tisk 49/||1|1||||||
7255|52|575|1|40|Vládní návrh zákona o civilním letectví a o zmìnì zákona è. 455/1991 Sb., o ivnostenském podnikání (ivnostenskı zákon), ve znìní pozdìjších pøedpisù|/snìmovní tisk 49/||1|||||||
7256|52|554|1|21|Vládní návrh zákona o kontrole vıvozu a dovozu zboí a technologií podléhajících mezinárodním kontrolním reimùm|/snìmovní tisk 21/||1|1||||||
7256|52|554|1|23|Vládní návrh zákona o kontrole vıvozu a dovozu zboí a technologií podléhajících mezinárodním kontrolním reimùm|/snìmovní tisk 21/||1|||||||
7257|52|578|1|35|Vládní návrh zákona o lihu a o zmìnì a doplnìní zákona è. 455/1991 Sb., o ivnostenském podnikání (ivnostenskı zákon), ve znìní pozdìjších pøedpisù, a zákona Èeské národní rady è. 587/1992 Sb., o spotøebních daních, ve znìní pozdìjších pøedpisù (zákon o lihu)|/snìmovní tisk 46/||1|||||||
7257|52|578|1|35|Vládní návrh zákona o lihu a o zmìnì a doplnìní zákona è. 455/1991 Sb., o ivnostenském podnikání (ivnostenskı zákon), ve znìní pozdìjších pøedpisù, a zákona Èeské národní rady è. 587/1992 Sb., o spotøebních daních, ve znìní pozdìjších pøedpisù (zákon o lihu)|/snìmovní tisk 46/||1|1||||||
7258|52|574|1|32|Vládní návrh zákona o léèivech a o zmìnách a doplnìní nìkterıch zákonù|/snìmovní tisk 50/||1|1||||||
7258|52|574|1|33|Vládní návrh zákona o léèivech a o zmìnách a doplnìní nìkterıch zákonù|/snìmovní tisk 50/||1|||||||
7259|52|599|1|24|Vládní návrh zákona o mírovém vyuívání jaderné energie a ionizujícího záøení (atomovı zákon) a o zmìnì a doplnìní nìkterıch zákonù|/snìmovní tisk 56/||1|1||||||
7259|52|599|1|26|Vládní návrh zákona o mírovém vyuívání jaderné energie a ionizujícího záøení (atomovı zákon) a o zmìnì a doplnìní nìkterıch zákonù|/snìmovní tisk 56/||1|||||||
7260|52|585|1|34|Vládní návrh zákona o nadacích a o zmìnì a doplnìní nìkterıch souvisejících zákonù (zákon o nadacích)|/snìmovní tisk 38/||1|1||||||
7260|52|585|1|38|Vládní návrh zákona o nadacích a o zmìnì a doplnìní nìkterıch souvisejících zákonù (zákon o nadacích)|/snìmovní tisk 38/||1|||||||
